0,6
1,0
2,0
3,-6
4,2
5,0
6,0
7,0
8,0
9,-2
10,7
11,0
12,0
13,0
14,0
15,-7
16,15
17,0
18,0
19,0
20,-15
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,8
36,0
37,0
38,-8
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,11
62,0
63,0
64,20
65,0
66,0
67,0
68,-11
69,3
70,-20
71,0
72,0
73,0
74,-3
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,22
83,0
84,0
85,-22
86,0
87,0
88,0
89,0
90,3
91,-3
92,0
93,0
94,5
95,0
96,0
97,-5
98,0
99,0